Condition ID,avg_growth,EX_glc__D_e,EX_ala__L_e,EX_arg__L_e,EX_asn__L_e,EX_gln__L_e,EX_gly_e,EX_his__L_e,EX_ile__L_e,EX_leu__L_e,EX_lys__L_e,EX_met__L_e,EX_phe__L_e,EX_pro__L_e,EX_ser__L_e,EX_thr__L_e,EX_trp__L_e,EX_tyr__L_e,EX_val__L_e,EX_thm_e,EX_pydxn_e
Cond00205,0.7262378430833333,0.22,0.2,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00206,0.8465656576666666,0.22,2.0,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00207,0.6515178425833333,0.22,0.002,0.0,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00208,0.6206761649166667,0.22,0.002,0.002,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00209,0.6578029140833334,0.22,0.002,0.2,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00210,0.6313247803636364,0.22,0.002,2.0,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00211,0.6043443484,0.22,0.002,0.02,0.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00212,0.6425712491666666,0.22,0.002,0.02,0.002,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00213,0.6193316349166667,0.22,0.002,0.02,0.02,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00214,0.6255235854166666,0.22,0.002,0.02,0.2,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00227,0.6067083784166667,0.22,0.002,0.02,2.0,0.0,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00228,0.62503699475,0.22,0.002,0.02,2.0,0.002,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00229,0.6424120048333334,0.22,0.002,0.02,2.0,0.2,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00230,0.7045258445,0.22,0.002,0.02,2.0,2.0,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00231,0.6879540201666666,0.22,0.002,0.02,2.0,0.02,0.0,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00232,0.66759873225,0.22,0.002,0.02,2.0,0.02,0.002,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00233,0.6883265671666666,0.22,0.002,0.02,2.0,0.02,0.02,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00234,0.5956762910833333,0.22,0.002,0.02,2.0,0.02,2.0,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00235,0.7225020825,0.22,0.002,0.02,2.0,0.02,0.2,0.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00236,0.6843621033333335,0.22,0.002,0.02,2.0,0.02,0.2,0.002,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00237,0.6499187670000001,0.22,0.002,0.02,2.0,0.02,0.2,0.02,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00238,0.6247592725,0.22,0.002,0.02,2.0,0.02,0.2,0.2,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00239,0.7415943480833334,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.0,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00240,0.7727665085833334,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.002,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00241,0.62241544225,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.2,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00242,0.6373008665833334,0.22,0.002,0.02,2.0,0.02,0.2,2.0,2.0,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00243,0.6263025435833333,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.0,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00244,0.6037049446666667,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.002,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00245,0.65123496375,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.02,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00246,0.75538376075,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,2.0,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00247,0.6320279348181818,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.0,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00248,0.6585517774999999,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.02,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00249,0.6173293544999999,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.2,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00250,0.614405025,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,2.0,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00251,0.6447965089090909,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.0,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00252,0.5974872395,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.002,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00253,0.6208228284166667,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.2,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00254,0.6115308504166667,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,2.0,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00255,0.6132522444166667,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,0.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00256,0.6221603567499999,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,0.002,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00257,0.6245136982727272,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,0.02,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00258,0.6134719005,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,0.2,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00259,0.6282673411666667,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.002,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00260,0.6544084442727273,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.02,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00261,0.7448045449999999,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.2,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00262,0.7997678044545453,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,2.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00263,0.6899540431666668,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.0,0.02,0.2,0.01,0.0,0.1,0.002
Cond00264,0.66543520575,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.002,0.02,0.2,0.01,0.0,0.1,0.002
Cond00265,0.6681896049999999,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.02,0.02,0.2,0.01,0.0,0.1,0.002
Cond00266,0.6923641094166667,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,2.0,0.02,0.2,0.01,0.0,0.1,0.002
Cond00267,0.6137678756666666,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.0,0.2,0.01,0.0,0.1,0.002
Cond00268,0.6469294699166667,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.002,0.2,0.01,0.0,0.1,0.002
Cond00269,0.63508461575,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.2,0.2,0.01,0.0,0.1,0.002
