condition_id,avg_growth,EX_glc__D_e,EX_ala__L_e,EX_arg__L_e,EX_asn__L_e,EX_asp__L_e,EX_glu__L_e,EX_gln__L_e,EX_gly_e,EX_his__L_e,EX_ile__L_e,EX_leu__L_e,EX_lys__L_e,EX_met__L_e,EX_phe__L_e,EX_pro__L_e,EX_ser__L_e,EX_thr__L_e,EX_trp__L_e,EX_tyr__L_e,EX_val__L_e,EX_thm_e,EX_pydxn_e,EX_cys__L_e,EX_cl_e,EX_nh4_e,EX_so4_e,EX_pi_e,EX_k_e,EX_na1_e,EX_mg2_e,EX_ca2_e,EX_fe2_e,EX_zn2_e,EX_cu2_e,EX_mobd_e,EX_cit_e,EX_tsul_e,EX_o2_e,EX_co2_e,EX_h_e,EX_h2o_e,EX_fe3_e,EX_mn2_e,EX_ni2_e,EX_sel_e,EX_cobalt2_e,EX_tungs_e,EX_slnt_e
cond891,0.973146629,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,9.053836577,11.44470189,7.122932076,0,9.290578291,4.975827429,4.560739342,4.306506701,0,10.68508964,0,0,0,0,0,9.569617026,10.3756804,6.282316484,0,1.700732987,14.23094079,0,15.43820016,8.753690384,0,20.67528307,7.588109411,0,0,18.97825085,19.66844581,0,7.152174339,0,0,7.002822496,10.39298765
cond892,0.912286629,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,12.55435564,7.883731313,11.05003327,0,11.68910347,10.95167384,8.383179158,7.576177232,0,14.72310036,2.070952067,0,10.21353286,0,0,12.26174898,10.31144213,6.467129365,0,0,6.80361215,0,15.9227296,13.23562376,0,22.45208211,0,3.148482256,19.90424968,25.26720017,9.482193179,0,11.89550228,0,0,13.39386351,16.32511541
cond893,0.74183373,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,13.80089253,8.130136691,12.84879975,0.370230515,10.94004389,15.17267697,8.003662527,5.074227564,0,14.42450285,4.213184007,0,1.248448323,0,0,11.66508552,11.91381179,5.269346442,0,0,0,2.033149786,14.38278198,11.64477292,0,17.85362631,0.794389369,0,0,3.808280881,0,0,11.80528119,0,0,15.15547588,12.49659166
cond894,0.774174306,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,9.957906902,8.956097178,9.101058505,3.478206918,9.935009405,10.79142533,8.171614781,7.039437965,0,13.10175374,5.053513646,0,1.472270293,0,12.77497284,11.07560698,9.937907867,7.237343825,0,0,8.077030778,0,14.56969351,10.47121216,0,16.24601819,15.09459898,0,0,22.59700239,0,0,11.47203591,0,0,9.83436022,15.15073784
cond895,0.762446618,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,13.99307437,8.377782851,13.07531863,0.179333109,11.02802336,15.50750561,8.108981811,5.09543553,0,14.78737757,4.066676833,0,1.023839894,0,0,11.84292652,12.07357615,5.253220871,0,0,0,2.305484368,14.82003994,11.97688006,0,18.3101026,0.481417305,0,0,3.934625871,0,0,11.92090258,0,0,15.36082007,12.77778424
cond896,0.625140842,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,7.162252069,8.886434995,7.161351033,0.274160453,8.129725456,9.527830333,6.489134319,5.421983562,0,12.89735377,1.950482214,0,0,0,16.75202385,9.114884771,8.093403019,5.457842033,0,0,9.60031949,0,15.96262433,10.55367429,0,17.08608381,13.68451238,0,0,25.02251193,0,0,10.04754759,0,0,6.745509133,17.13090204
cond897,0.740824228,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,10.05754676,8.961981162,9.17332612,3.596982285,10.00584938,10.83550248,8.234405592,7.099626884,0,13.11172813,5.17162757,0,1.567594837,0,12.61153214,11.14682067,10.0104678,7.29939498,0,0,8.030342534,0,14.5278962,10.46375968,0,16.21879034,15.14963083,0,0,22.51173876,0,0,11.5275427,0,0,9.949831553,15.07730164
cond898,0.777318218,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,13.96342017,8.278140165,13.00778128,0.298189952,11.034538,15.37845291,8.092375994,5.117505603,0,14.63353187,4.179901239,0,1.173749752,0,0,11.79463509,12.02263683,5.299729686,0,0,0,2.176673561,14.62321632,11.84221022,0,18.11691426,0.668649641,0,0,3.869416844,0,0,11.9094234,0,0,15.3149458,12.67374963
cond899,0.626913619,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,15.24159878,9.449556991,14.42296691,0,11.80868573,17.12224983,8.754020222,5.512659419,0,16.40208639,3.771936148,0,0.481098085,0,0,12.82883398,12.94521414,5.515279006,0,0,0,3.435628191,16.70286112,13.56302612,0,20.50472327,0,0,0,4.475894738,0,0,12.73086525,0,0,16.68065727,14.24724296
cond900,1.034632516,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,8.275221176,8.876297101,8.020174205,1.442765789,8.666284233,9.880921058,6.999533325,5.929395277,0,12.85850801,3.037333488,0,0,0,15.29429629,9.899379201,8.83842811,6.035148092,0,0,9.148534536,0,15.06030582,10.57993244,0,16.66835137,14.33883578,0,0,23.81783321,0,0,10.52053768,0,0,7.879635245,16.02319404
cond901,1.674527123,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,8.675814122,6.026127115,8.108328506,0,8.516804278,8.957112879,4.891689569,5.398284122,0,11.75812367,0,0,7.729770243,0,0,8.112333976,6.404361911,3.975088261,0,0,5.03170263,0,13.24471198,10.39000779,0,19.98413965,0,3.388970383,17.51255907,22.02924781,7.712852992,0,8.372705765,0,0,9.027730599,13.42446052
cond902,1.395303215,20,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,2.200000165,5.764334053,7.799988762,5.921618268,0,6.750925966,7.57439144,5.176823214,4.365973305,0,11.07457854,1.159378476,0,0,0,14.307153,7.604381144,6.804015599,4.021159299,0,0,8.83304242,0,13.90783906,9.1020827,0,14.97906677,11.51876096,0,0,21.69408083,0,0,8.562343046,0,0,5.425574612,14.55250375
