gem_rxn_id,gem_rxn,gem_bigg,gem_rxn_name
EX_thymd_e,thymd_e --> ,EX_thymd_e,Thymidine exchange
EX_rib__D_e,rib__D_e --> ,EX_rib__D_e,D-Ribose exchange
EX_tyr__L_e,tyr__L_e --> ,EX_tyr__L_e,L-Tyrosine exchange
EX_cytd_e,cytd_e --> ,EX_cytd_e,Cytidine exchange
EX_dcyt_e,dcyt_e --> ,EX_dcyt_e,Deoxycytidine exchange
MOAT,ckdo_c + lipidA_c --> cmp_c + h_c + kdolipid4_c,MOAT,3-deoxy-D-manno-octulosonic acid transferase
EX_fum_e,fum_e --> ,EX_fum_e,Fumarate exchange
EX_sbt__D_e,sbt__D_e --> ,EX_sbt__D_e,D-Sorbitol exchange
EX_glu__L_e,glu__L_e --> ,EX_glu__L_e,L-Glutamate exchange
UDCPDPS,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c,UDCPDPS,Undecaprenyl diphosphate synthase
ECOAH6,3htdcoa_c <=> h2o_c + td2coa_c,ECOAH6,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)
USHD,h2o_c + u23ga_c --> 2.0 h_c + lipidX_c + ump_c,USHD,UDP-sugar hydrolase
EX_gua_e,gua_e --> ,EX_gua_e,Guanine exchange
ENO,2pg_c <=> h2o_c + pep_c,ENO,Enolase
FBA,fdp_c <=> dhap_c + g3p_c,FBA,Fructose-bisphosphate aldolase
HCO3E,co2_c + h2o_c <=> h_c + hco3_c,HCO3E,HCO3 equilibration reaction
MGSA,dhap_c --> mthgxl_c + pi_c,MGSA,Methylglyoxal synthase
IMPC,h2o_c + imp_c <=> fprica_c,IMPC,IMP cyclohydrolase
IMPD,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,IMPD,IMP dehydrogenase
PPS,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c,PPS,Phosphoenolpyruvate synthase
ECOAH4,3hdcoa_c <=> dc2coa_c + h2o_c,ECOAH4,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)
LPADSS,lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c,LPADSS,Lipid A disaccaride synthase
GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,GLUTRS,Glutamyl-tRNA synthetase
TDSK,atp_c + lipidAds_c --> adp_c + h_c + lipidA_c,TDSK,Tetraacyldisaccharide 4'kinase
PGI,g6p_c <=> f6p_c,PGI,Glucose-6-phosphate isomerase
TMPPP,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c,TMPPP,Thiamine-phosphate diphosphorylase
EX_btn_e,btn_e --> ,EX_btn_e,Biotin exchange
PGK,3pg_c + atp_c <=> 13dpg_c + adp_c,PGK,Phosphoglycerate kinase
EX_ptrc_e,ptrc_e --> ,EX_ptrc_e,Putrescine exchange
EDA,2ddg6p_c --> g3p_c + pyr_c,EDA,2-dehydro-3-deoxy-phosphogluconate aldolase
EX_spmd_e,spmd_e --> ,EX_spmd_e,Spermidine exchange
EX_thym_e,thym_e --> ,EX_thym_e,Thymine exchange
EX_xtsn_e,xtsn_e --> ,EX_xtsn_e,Xanthosine exchange
NTPP1,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c,NTPP1,Nucleoside triphosphate pyrophosphorylase (dgtp)
URIK1,atp_c + uri_c --> adp_c + h_c + ump_c,URIK1,Uridine kinase  ATPUridine
URIK2,gtp_c + uri_c --> gdp_c + h_c + ump_c,URIK2,Uridine kinase (GTP:Uridine)
NTPP2,gtp_c + h2o_c --> gmp_c + h_c + ppi_c,NTPP2,Nucleoside triphosphate pyrophosphorylase (gtp)
PGL,6pgl_c + h2o_c --> 6pgc_c + h_c,PGL,6-phosphogluconolactonase
NTPTP1,dgtp_c + h2o_c --> dgsn_c + pppi_c,NTPTP1,Nucleoside triphosphate tripolyhydrolase
NTPTP2,gtp_c + h2o_c --> gsn_c + pppi_c,NTPTP2,Nucleoside triphosphate tripolyhydrolase
CYTDK1,atp_c + cytd_c --> adp_c + cmp_c + h_c,CYTDK1,ATP:cytidine 5'-phosphotransferase
RPE,ru5p__D_c <=> xu5p__D_c,RPE,Ribulose 5-phosphate 3-epimerase
DHQTi,3dhq_c --> 3dhsk_c + h2o_c,DHQTi,"3-dehydroquinate dehydratase, irreversible"
IPMD,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,IPMD,3-isopropylmalate dehydrogenase
AIRC3,5aizc_c <=> 5caiz_c,AIRC3,Phosphoribosylaminoimidazole carboxylase (mutase rxn)
TALA,g3p_c + s7p_c <=> e4p_c + f6p_c,TALA,Transaldolase
PUNP1,adn_c + pi_c <=> ade_c + r1p_c,PUNP1,Purine-nucleoside phosphorylase (Adenosine)
PUNP2,dad_2_c + pi_c <=> 2dr1p_c + ade_c,PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine)
PUNP3,gsn_c + pi_c <=> gua_c + r1p_c,PUNP3,Purine-nucleoside phosphorylase (Guanosine)
ADSL2r,25aics_c <=> aicar_c + fum_c,ADSL2r,Adenylosuccinate lyase
TKT1,r5p_c + xu5p__D_c <=> g3p_c + s7p_c,TKT1,Transketolase
EX_fe2_e,fe2_e <=> ,EX_fe2_e,Fe2+ exchange
PUNP5,ins_c + pi_c <=> hxan_c + r1p_c,PUNP5,Purine-nucleoside phosphorylase (Inosine)
PUNP6,din_c + pi_c <=> 2dr1p_c + hxan_c,PUNP6,Purine-nucleoside phosphorylase (Deoxyinosine)
PUNP7,pi_c + xtsn_c <=> r1p_c + xan_c,PUNP7,Purine-nucleoside phosphorylase (Xanthosine)
G6PDA,gam6p_c + h2o_c --> f6p_c + nh4_c,G6PDA,Glucosamine-6-phosphate deaminase
RNDR1,adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c,RNDR1,Ribonucleoside-diphosphate reductase (ADP)
ALCD2x,etoh_c + nad_c <=> acald_c + h_c + nadh_c,ALCD2x,Alcohol dehydrogenase (ethanol)
RNDR3,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c,RNDR3,Ribonucleoside-diphosphate reductase (CDP)
RNDR4,trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c,RNDR4,Ribonucleoside-diphosphate reductase (UDP)
ALDD2y,acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c,ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)"
TMDS,dump_c + mlthf_c --> dhf_c + dtmp_c,TMDS,Thymidylate synthase
RMI,rmn_c <=> rml_c,RMI,L-rhamnose isomerase
TMDK1,atp_c + thymd_c --> adp_c + dtmp_c + h_c,TMDK1,Thymidine kinase (ATP:thymidine)
LYSAM,lys__L_c <=> 36dahx_c,LYSAM,"Lysine 2,3-aminomutase"
PPCDC,4ppcys_c + h_c --> co2_c + pan4p_c,PPCDC,Phosphopantothenoylcysteine decarboxylase
FTHFD,10fthf_c + h2o_c --> for_c + h_c + thf_c,FTHFD,Formyltetrahydrofolate deformylase
EX_glc__D_e,glc__D_e <=> ,EX_glc__D_e,D-Glucose exchange
DHAD1,23dhmb_c --> 3mob_c + h2o_c,DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)"
IPPMIa,3c2hmp_c <=> 2ippm_c + h2o_c,IPPMIa,3-isopropylmalate dehydratase
EX_alltn_e,alltn_e --> ,EX_alltn_e,Allantoin exchange
G3PD7,2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c,G3PD7,Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8)
EDD,6pgc_c --> 2ddg6p_c + h2o_c,EDD,6-phosphogluconate dehydratase
EX_ura_e,ura_e --> ,EX_ura_e,Uracil exchange
