gem_rxn_id,gem_rxn,gem_bigg,gem_rxn_name
O16GALFT,garagund_c + udpgalfur_c --> gfgaragund_c + h_c + udp_c,O16GALFT,Galactofuranosyltransferase (LPS O16 antigen biosynthesis)
O16GLCT2,gfgaragund_c + udpg_c --> h_c + o16aund_c + udp_c,O16GLCT2,Glucosyltransferase II (LPS O16 antigen biosynthesis)
O16AUNDtpp,o16aund_c --> o16aund_p,O16AUNDtpp,"O16 antigen (flippase, cytoplasm to periplasm)"
O16AP1pp,2.0 o16aund_p --> h_p + o16a2und_p + udcpdp_p,O16AP1pp,O16 antigen polymerase (periplasm)
GPDDA3pp,g3ps_p + h2o_p --> glyc3p_p + h_p + ser__L_p,GPDDA3pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine)
GPDDA4pp,g3pg_p + h2o_p --> glyc3p_p + glyc_p + h_p,GPDDA4pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol)
GPDDA2pp,g3pe_p + h2o_p --> etha_p + glyc3p_p + h_p,GPDDA2pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine)
FACOAL120t2pp,atp_c + coa_c + ddca_p + h_p --> amp_c + ddcacoa_c + h_c + ppi_c,FACOAL120t2pp,Fatty-acid-CoA ligase (dodecanoate transport via vectoral Co-A coupling)
GLYCAt2rpp,glyc__R_p + h_p <=> glyc__R_c + h_c,GLYCAt2rpp,"D-glycerate transport via proton symport, reversible (periplasm)"
GLYCAtex,glyc__R_e <=> glyc__R_p,GLYCAtex,D-glycerate transport via diffusion (extracellular to periplasm)
FACOAL140t2pp,atp_c + coa_c + h_p + ttdca_p --> amp_c + h_c + ppi_c + tdcoa_c,FACOAL140t2pp,Fatty-acid-CoA ligase (tetradecanoate transport via vectoral Co-A coupling)
EX_enlipa_e,enlipa_e --> ,EX_enlipa_e,Phosphoethanolamine KDO(2)-lipid (A) exchange
BUTtex,but_e <=> but_p,BUTtex,Butyrate transport via diffusion (extracellular to periplasm)
EX_hacolipa_e,hacolipa_e --> ,EX_hacolipa_e,Hepta-acylated core oligosaccharide lipid A (E. coli) exchange
AGM4PCP,anhgm4p_c + h2o_c --> ala__D_c + anhgm3p_c,AGM4PCP,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase"
4PCP,LalaDgluMdapDala_c + h2o_c --> LalaDgluMdap_c + ala__D_c,4PCP,"Tetrapeptide L,D-carboxypeptidase"
FE3HOXtonex,fe3hox_e + h_p --> fe3hox_p + h_c,FE3HOXtonex,Fe(III)hydroxamine transport via ton system (extracellular)
CU2abcpp,atp_c + cu2_c + h2o_c --> adp_c + cu2_p + h_c + pi_c,CU2abcpp,Copper (Cu+2) ABC transporter (periplasm)
COBALT2abcpp,atp_c + cobalt2_c + h2o_c --> adp_c + cobalt2_p + h_c + pi_c,COBALT2abcpp,Cobalt (Co+2) ABC transporter (periplasm)
NI2abcpp,atp_c + h2o_c + ni2_c --> adp_c + h_c + ni2_p + pi_c,NI2abcpp,Nickle (Ni+2) ABC transporter (periplasm)
MG2uabcpp,atp_c + h2o_c + mg2_p --> adp_c + h_c + mg2_c + pi_c,MG2uabcpp,"Magnesium (Mg+2) ABC transporter (ubtake, periplasm)"
4PCPpp,LalaDgluMdapDala_p + h2o_p --> LalaDgluMdap_p + ala__D_p,4PCPpp,"Tetrapeptide L,D-carboxypeptidase (periplasm)"
HCYSMT2,hcys__L_c + mmet_c --> h_c + 2.0 met__L_c,HCYSMT2,Homocysteine Methyltransferase
FALDH2,hmgth_c + nad_c <=> Sfglutth_c + h_c + nadh_c,FALDH2,Formaldehyde dehydrogenase
CHLtex,chol_e <=> chol_p,CHLtex,Choline transport via diffusion (extracellular to periplasm)
GLYBabcpp,atp_c + glyb_p + h2o_c --> adp_c + glyb_c + h_c + pi_c,GLYBabcpp,Glycine betaine transport via ABC system (periplasm)
GLYC3Pt6pp,glyc3p_p + pi_c --> glyc3p_c + pi_p,GLYC3Pt6pp,Glycerol-3-phosphate : phosphate antiporter (periplasm)
MMETtex,mmet_e <=> mmet_p,MMETtex,S-methyl-L-methionine transport via diffusion (extracellular to periplasm)
FE3tex,fe3_e <=> fe3_p,FE3tex,Iron (III) transport via diffusion (extracellular to periplasm)
MG2tex,mg2_e <=> mg2_p,MG2tex,Magnesium (Mg+2) transport via diffusion (extracellular to periplasm)
Zn2tex,zn2_e <=> zn2_p,Zn2tex,Zinc (Zn+2) transport via diffusion (extracellular to periplasm)
MMETt2pp,h_p + mmet_p --> h_c + mmet_c,MMETt2pp,S-methylmethionine permease (periplasm)
CD2tex,cd2_e <=> cd2_p,CD2tex,Cadmium (Cd+2) transport via diffusion (extracellular to periplasm)
GLYCLTt4pp,glyclt_p + na1_p --> glyclt_c + na1_c,GLYCLTt4pp,Glycolate transport via sodium symport (periplasm)
GLYCtpp,glyc_c <=> glyc_p,GLYCtpp,Glycerol transport via channel (periplasm)
H2Otpp,h2o_p <=> h2o_c,H2Otpp,H2O transport via diffusion (periplasm)
GLNabcpp,atp_c + gln__L_p + h2o_c --> adp_c + gln__L_c + h_c + pi_c,GLNabcpp,L-glutamine transport via ABC system (periplasm)
CO2tex,co2_e <=> co2_p,CO2tex,CO2 transport via diffusion (extracellular to periplasm)
GLUabcpp,atp_c + glu__L_p + h2o_c --> adp_c + glu__L_c + h_c + pi_c,GLUabcpp,L-glutamate transport via ABC system (periplasm)
GLUABUTt7pp,4abut_c + glu__L_p <=> 4abut_p + glu__L_c,GLUABUTt7pp,4-aminobutyrate/glutamate antiport (periplasm)
GLUt2rpp,glu__L_p + h_p <=> glu__L_c + h_c,GLUt2rpp,"L-glutamate transport via proton symport, reversible (periplasm)"
HCINNMt2rpp,3hcinnm_p + h_p <=> 3hcinnm_c + h_c,HCINNMt2rpp,"3-hydroxycinnamic acid transport via proton symport, reversible (periplasm)"
HISabcpp,atp_c + h2o_c + his__L_p --> adp_c + h_c + his__L_c + pi_c,HISabcpp,L-histidine transport via ABC system (periplasm)
HISt2rpp,h_p + his__L_p <=> h_c + his__L_c,HISt2rpp,L-histidine reversible transport via proton symport (periplasm)
CBIAT,atp_c + cbi_c + h_c <=> adocbi_c + pppi_c,CBIAT,Cobinamide adenyltransferase
GLUt4pp,glu__L_p + na1_p --> glu__L_c + na1_c,GLUt4pp,Na+/glutamate symport (periplasm)
GLYALDtpp,glyald_p <=> glyald_c,GLYALDtpp,Glyceraldehyde facilitated diffusion (periplasm)
CRNtex,crn_e <=> crn_p,CRNtex,L-carnitine transport via diffusion (extracellular to periplasm)
EX_etha_e,etha_e --> ,EX_etha_e,Ethanolamine exchange
ACGK,acglu_c + atp_c --> acg5p_c + adp_c,ACGK,Acetylglutamate kinase
LYSabcpp,atp_c + h2o_c + lys__L_p --> adp_c + h_c + lys__L_c + pi_c,LYSabcpp,L-lysine transport via ABC system (periplasm)
COBALT2tex,cobalt2_e <=> cobalt2_p,COBALT2tex,Cobalt (Co+2) transport via diffusion (extracellular to periplasm)
LCTSt3ipp,h_p + lcts_c --> h_c + lcts_p,LCTSt3ipp,Lactose transport via proton aniport (periplasm)
PPK2,atp_c + ppi_c --> adp_c + pppi_c,PPK2,Polyphosphate kinase
ARBt3ipp,arab__L_c + h_p --> arab__L_p + h_c,ARBt3ipp,L-arabinose transport via proton antiport (periplasm)
14GLUCANabcpp,14glucan_p + atp_c + h2o_c --> 14glucan_c + adp_c + h_c + pi_c,14GLUCANabcpp,"1,4-alpha-D-glucan transport via ABC system (periplasm)"
14GLUCANtexi,14glucan_e --> 14glucan_p,14GLUCANtexi,"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible"
DINStex,din_e <=> din_p,DINStex,Deoxyinosine transport via diffusion (extracellular to periplasm)
DHPTPE,ahdt_c <=> dhmptp_c,DHPTPE,Dihydroneopterin triphosphate 2'-epimerase
PPDOy,h_c + lald__D_c + nadph_c --> 12ppd__R_c + nadp_c,PPDOy,"Propane-1,2-diol:NADP+ 1-oxidoreductase"
FALGTHLs,fald_c + gthrd_c <=> hmgth_c,FALGTHLs,Formaldehyde glutathione ligase (spontaneous)
NTD12pp,dimp_p + h2o_p --> din_p + pi_p,NTD12pp,5'-nucleotidase (dIMP) (periplasm)
PPA2,h2o_c + pppi_c --> h_c + pi_c + ppi_c,PPA2,Inorganic triphosphatase
DIMPtex,dimp_e <=> dimp_p,DIMPtex,DIMP transport via diffusion (extracellular to periplasm)
EX_hdca_e,hdca_e --> ,EX_hdca_e,Hexadecanoate (n-C16:0) exchange
EX_glcr_e,glcr_e --> ,EX_glcr_e,D-Glucarate exchange
GNK,atp_c + glcn_c --> 6pgc_c + adp_c + h_c,GNK,Gluconokinase
HMBS,h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c,HMBS,Hydroxymethylbilane synthase
3NTD7pp,3amp_p + h2o_p --> adn_p + pi_p,3NTD7pp,3'-nucleotidase (AMP) (periplasm)
DMStex,dms_e <=> dms_p,DMStex,Dimethyl sulfide transport via diffusion (extracellular to periplasm)
3NTD4pp,3cmp_p + h2o_p --> cytd_p + pi_p,3NTD4pp,3'-nucleotidase (CMP) (periplasm)
3NTD2pp,3ump_p + h2o_p --> pi_p + uri_p,3NTD2pp,3'-nucleotidase (UMP) (periplasm)
3NTD9pp,3gmp_p + h2o_p --> gsn_p + pi_p,3NTD9pp,3'-nucleotidase (GMP) (periplasm)
RMK,atp_c + rml_c --> adp_c + h_c + rml1p_c,RMK,Rhamnulokinase
FHL,for_c + h_c --> co2_c + h2_c,FHL,Formate-hydrogen lyase
HYPOE,h2o_c + pyam5p_c --> pi_c + pydam_c,HYPOE,Hypothetical enyme
MEPCT,2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c,MEPCT,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
GLUDy,glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c,GLUDy,Glutamate dehydrogenase (NADP)
23PDE7pp,23camp_p + h2o_p --> 3amp_p + h_p,23PDE7pp,"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)"
GALTptspp,galt_p + pep_c --> galt1p_c + pyr_c,GALTptspp,Galactitol transport via PEP:Pyr PTS (periplasm)
GALURt2rpp,galur_p + h_p <=> galur_c + h_c,GALURt2rpp,"D-galacturonate transport via proton symport, reversible (periplasm)"
ZN2abcpp,atp_c + h2o_c + zn2_c --> adp_c + h_c + pi_c + zn2_p,ZN2abcpp,"Zinc (Zn+2) ABC transporter, efflux (periplasm)"
CSNtex,csn_e <=> csn_p,CSNtex,Cytosine transport via diffusion (extracellular to periplasm)
GLYCLTDy,glx_c + h_c + nadph_c --> glyclt_c + nadp_c,GLYCLTDy,Glycolate dehydrogenase (NADP)
LYSDC,h_c + lys__L_c --> 15dap_c + co2_c,LYSDC,Lysine decarboxylase
DAAD,ala__D_c + fad_c + h2o_c --> fadh2_c + nh4_c + pyr_c,DAAD,D-Amino acid dehydrogenase
GLCNt2rpp,glcn_p + h_p <=> glcn_c + h_c,GLCNt2rpp,"D-gluconate transport via proton symport, reversible (periplasm)"
GLCptspp,glc__D_p + pep_c --> g6p_c + pyr_c,GLCptspp,D-glucose transport via PEP:Pyr PTS (periplasm)
GLCRt2rpp,glcr_p + h_p <=> glcr_c + h_c,GLCRt2rpp,"D-glucarate transport via proton symport, reversible (periplasm)"
GLCt2pp,glc__D_p + h_p --> glc__D_c + h_c,GLCt2pp,D-glucose transport in via proton symport (periplasm)
UREAtpp,urea_p <=> urea_c,UREAtpp,Urea transport via facilitate diffusion (periplasm)
XANt2pp,h_p + xan_p --> h_c + xan_c,XANt2pp,Xanthine transport in via proton symport (periplasm)
GLYC3Pabcpp,atp_c + glyc3p_p + h2o_c --> adp_c + glyc3p_c + h_c + pi_c,GLYC3Pabcpp,Sn-Glycerol 3-phosphate transport via ABC system (periplasm)
PPPNt2rpp,h_p + pppn_p <=> h_c + pppn_c,PPPNt2rpp,"3-phenylpropionate transport via proton symport, reversible (periplasm)"
PTRCORNt7pp,orn_c + ptrc_p <=> orn_p + ptrc_c,PTRCORNt7pp,Putrescine/ornithine antiporter (periplasm)
GLCURt2rpp,glcur_p + h_p <=> glcur_c + h_c,GLCURt2rpp,"D-glucuronate transport via proton symport, reversible (periplasm)"
ACMUMptspp,acmum_p + pep_c --> acmum6p_c + pyr_c,ACMUMptspp,N-acetylmuramate transport via PEP:Pyr PTS (periplasm)
EX_h2o_e,h2o_e <=> ,EX_h2o_e,H2O exchange
EX_ala__D_e,ala__D_e --> ,EX_ala__D_e,D-Alanine exchange
HSTPT,glu__L_c + imacp_c --> akg_c + hisp_c,HSTPT,Histidinol-phosphate transaminase
SPMDabcpp,atp_c + h2o_c + spmd_p --> adp_c + h_c + pi_c + spmd_c,SPMDabcpp,Spermidine transport via ABC system (periplasm)
CYNTtex,cynt_e <=> cynt_p,CYNTtex,Cyanate transport via diffusion (extracellular to periplasm)
HG2tex,hg2_e <=> hg2_p,HG2tex,Mercury (Hg+2) transport via diffusion (extracellular to periplasm)
NTPP5,datp_c + h2o_c --> damp_c + h_c + ppi_c,NTPP5,Nucleoside triphosphate pyrophosphorylase (datp)
THDPS,h2o_c + succoa_c + thdp_c --> coa_c + sl2a6o_c,THDPS,Tetrahydrodipicolinate succinylase
ACONMT,acon_T_c + amet_c --> aconm_c + ahcys_c,ACONMT,Trans-aconitate methyltransferase
XTSNtex,xtsn_e <=> xtsn_p,XTSNtex,Xanthosine transport via diffusion (extracellular to periplasm)
ATPM,atp_c + h2o_c --> adp_c + h_c + pi_c,ATPM,ATP maintenance requirement
CYStex,cys__L_e <=> cys__L_p,CYStex,L-cysteine transport via diffusion (extracellular to periplasm)
NADPPPS,h2o_c + nadp_c --> nad_c + pi_c,NADPPPS,NADP phosphatase
EX_mnl_e,mnl_e --> ,EX_mnl_e,D-Mannitol exchange
THRD_L,thr__L_c --> 2obut_c + nh4_c,THRD_L,L-threonine deaminase
EX_malt_e,malt_e --> ,EX_malt_e,Maltose exchange
NTD3,dcmp_c + h2o_c --> dcyt_c + pi_c,NTD3,5'-nucleotidase (dCMP)
CYTDtex,cytd_e <=> cytd_p,CYTDtex,Cytidine transport via diffusion (extracellular to periplasm)
GLYOX,h2o_c + lgt__S_c --> gthrd_c + h_c + lac__D_c,GLYOX,Hydroxyacylglutathione hydrolase
DADNtex,dad_2_e <=> dad_2_p,DADNtex,Deoxyadenosine transport via diffusion (extracellular to periplasm)
4PEPTtex,LalaDgluMdapDala_e <=> LalaDgluMdapDala_p,4PEPTtex,LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm)
NAMNPP,atp_c + h2o_c + nac_c + prpp_c --> adp_c + nicrnt_c + pi_c + ppi_c,NAMNPP,Nicotinic acid mononucleotide pyrophosphorylase
EX_pnto__R_e,pnto__R_e --> ,EX_pnto__R_e,(R)-Pantothenate exchange
SELNPS,atp_c + h2o_c + seln_c --> amp_c + pi_c + selnp_c,SELNPS,Selenophosphate synthase
DHAtex,dha_e <=> dha_p,DHAtex,Dihydroxyacetone transport via diffusion (extracellular to periplasm)
ETOHtex,etoh_e <=> etoh_p,ETOHtex,Ethanol transport via diffusion (extracellular to periplasm)
MTRPOX,Nmtrp_c + h2o_c + o2_c --> fald_c + h2o2_c + trp__L_c,MTRPOX,N-methyltryptophan oxidase
AGM4PCPpp,anhgm4p_p + h2o_p --> ala__D_p + anhgm3p_p,AGM4PCPpp,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase (periplasmic)"
GTPDPDP,gdptp_c + h2o_c --> h_c + pi_c + ppgpp_c,GTPDPDP,"Guanosine-5'-triphosphate,3'-diphosphate diphosphatase"
CRNCAR,crncoa_c <=> crnDcoa_c,CRNCAR,Carnitine-CoA racemase
GALabcpp,atp_c + gal_p + h2o_c --> adp_c + gal_c + h_c + pi_c,GALabcpp,D-galactose transport via ABC system (periplasm)
GLYCLTt2rpp,glyclt_p + h_p <=> glyclt_c + h_c,GLYCLTt2rpp,"Glycolate transport via proton symport, reversible (periplasm)"
GUAt2pp,gua_p + h_p --> gua_c + h_c,GUAt2pp,Guanine transport in via proton symport (periplasm)
HPPPNt2rpp,3hpppn_p + h_p <=> 3hpppn_c + h_c,HPPPNt2rpp,"3-(3-hydroxyphenyl)propionate transport via proton symport, reversible (periplasm)"
RNDR2,gdp_c + trdrd_c --> dgdp_c + h2o_c + trdox_c,RNDR2,Ribonucleoside-diphosphate reductase (GDP)
EX_asn__L_e,asn__L_e --> ,EX_asn__L_e,L-Asparagine exchange
ANHMK,anhm_c + atp_c + h2o_c --> acmum6p_c + adp_c + h_c,ANHMK,"1,6-anhydrous-N-Acetylmuramate kinase"
DCAtex,dca_e <=> dca_p,DCAtex,Decanoate transport via diffusion (extracellular to periplasm)
DHFR,dhf_c + h_c + nadph_c <=> nadp_c + thf_c,DHFR,Dihydrofolate reductase
EX_cit_e,cit_e --> ,EX_cit_e,Citrate exchange
PRAIi,pran_c --> 2cpr5p_c,PRAIi,Phosphoribosylanthranilate isomerase (irreversible)
EX_mal__L_e,mal__L_e --> ,EX_mal__L_e,L-Malate exchange
NMNN,h2o_c + nmn_c --> h_c + ncam_c + r5p_c,NMNN,NMN nucleosidase
XAND,h2o_c + nad_c + xan_c --> h_c + nadh_c + urate_c,XAND,Xanthine dehydrogenase
EX_no2_e,no2_e --> ,EX_no2_e,Nitrite exchange
HACD3,3oocoa_c + h_c + nadh_c <=> 3hocoa_c + nad_c,HACD3,3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)
TYRTA,akg_c + tyr__L_c <=> 34hpp_c + glu__L_c,TYRTA,Tyrosine transaminase
SHKK,atp_c + skm_c --> adp_c + h_c + skm5p_c,SHKK,Shikimate kinase
DCYTtex,dcyt_e <=> dcyt_p,DCYTtex,Deoxycytidine transport via diffusion (extracellular to periplasm)
EX_gam_e,gam_e --> ,EX_gam_e,D-Glucosamine exchange
ACACtex,acac_e <=> acac_p,ACACtex,Acetoacetate transport via diffusion (extracellular to periplasm)
ACNAMtex,acnam_e <=> acnam_p,ACNAMtex,N-acetylneuraminate transport via diffusion (extracellular to periplasm)
ARBTNabcpp,arbtn_fe3_p + atp_c + h2o_c --> adp_c + arbtn_fe3_c + h_c + pi_c,ARBTNabcpp,Aerobactin transport via ABC system (periplasm)
EX_inost_e,inost_e --> ,EX_inost_e,Myo-Inositol exchange
EX_mobd_e,mobd_e <=> ,EX_mobd_e,Molybdate exchange
NNDMBRT,dmbzid_c + nicrnt_c --> 5prdmbz_c + h_c + nac_c,NNDMBRT,Nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase
DGSNtex,dgsn_e <=> dgsn_p,DGSNtex,Deoxyguanosine transport via diffusion (extracellular to periplasm)
THRA2,athr__L_c --> acald_c + gly_c,THRA2,L-allo-Threonine Aldolase
ASO3t8pp,aso3_c + atp_c + h2o_c --> adp_c + aso3_p + h_c + pi_c,ASO3t8pp,Arsenite efflux via ATP hydrolysis (periplasm)
H2Stex,h2s_e <=> h2s_p,H2Stex,H2s transport via diffusion (extracellular to periplasm)
PPK,atp_c + pi_c --> adp_c + ppi_c,PPK,Polyphosphate kinase
EX_so4_e,so4_e <=> ,EX_so4_e,Sulfate exchange
SADH,2.0 h2o_c + 2.0 h_c + sucarg_c --> co2_c + 2.0 nh4_c + sucorn_c,SADH,Succinylarginine dihydrolase
GLUSy,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,GLUSy,Glutamate synthase (NADPH)
GUAPRT,gua_c + prpp_c --> gmp_c + ppi_c,GUAPRT,Guanine phosphoribosyltransferase
EX_phe__L_e,phe__L_e --> ,EX_phe__L_e,L-Phenylalanine exchange
EX_thr__L_e,thr__L_e --> ,EX_thr__L_e,L-Threonine exchange
EX_uri_e,uri_e --> ,EX_uri_e,Uridine exchange
OMCDC,3c4mop_c + h_c --> 4mop_c + co2_c,OMCDC,2-Oxo-4-methyl-3-carboxypentanoate decarboxylation
ABUTD,4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c,ABUTD,Aminobutyraldehyde dehydrogenase
E4PD,e4p_c + h2o_c + nad_c <=> 4per_c + 2.0 h_c + nadh_c,E4PD,Erythrose 4-phosphate dehydrogenase
IG3PS,gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c,IG3PS,Imidazole-glycerol-3-phosphate synthase
PDH,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,PDH,Pyruvate dehydrogenase
MTHFR2,2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c,MTHFR2,"5,10-methylenetetrahydrofolate reductase (NADH)"
DMSOR2pp,2dmmql8_c + dmso_p --> 2dmmq8_c + dms_p + h2o_p,DMSOR2pp,Dimethyl sulfoxide reductase (Demethylmenaquinol 8) (periplasm)
H2St1pp,h2s_c --> h2s_p,H2St1pp,H2s transport (periplasm)
EX_nh4_e,nh4_e <=> ,EX_nh4_e,Ammonia exchange
DADK,atp_c + damp_c <=> adp_c + dadp_c,DADK,Deoxyadenylate kinase
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,DUTPDP,DUTP diphosphatase
EX_ddca_e,ddca_e --> ,EX_ddca_e,Dodecanoate (n-C12:0) exchange
HYD3pp,2dmmq8_c + h2_c + 2.0 h_c --> 2dmmql8_c + 2.0 h_p,HYD3pp,Hydrogenase (Demethylmenaquinone-8: 2 protons) (periplasm)
NO3R1pp,2.0 h_c + no3_c + q8h2_c --> h2o_c + 2.0 h_p + no2_c + q8_c,NO3R1pp,Nitrate reductase (Ubiquinol-8) (periplasm)
NTP5,ctp_c + h2o_c --> cdp_c + h_c + pi_c,NTP5,Nucleoside-triphosphatase (CTP)
CELBpts,cellb_e + pep_c --> 6pgg_c + pyr_c,CELBpts,Cellobiose transport via PEPPyr PTS
FORt2pp,for_p + h_p --> for_c + h_c,FORt2pp,"Formate transport via proton symport (uptake only, periplasm)"
EX_r5p_e,r5p_e --> ,EX_r5p_e,Alpha-D-Ribose 5-phosphate exchange
EX_glyc2p_e,glyc2p_e --> ,EX_glyc2p_e,Glycerol 2-phosphate exchange
MTAN,5mta_c + h2o_c --> 5mtr_c + ade_c,MTAN,Methylthioadenosine nucleosidase
DPR,2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,DPR,2-dehydropantoate 2-reductase
EX_halipa_e,halipa_e --> ,EX_halipa_e,Hepta-acylated KDO(2)-lipid (A) exchange
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,AACPS5,Acyl-[acyl-carrier-protein] synthetase  (n-C18:1)
MANptspp,man_p + pep_c --> man6p_c + pyr_c,MANptspp,D-mannose transport via PEP:Pyr PTS (periplasm)
EX_cmp_e,cmp_e --> ,EX_cmp_e,CMP exchange
NTD8,dgmp_c + h2o_c --> dgsn_c + pi_c,NTD8,5'-nucleotidase (dGMP)
GALCTD,galct__D_c --> 5dh4dglc_c + h2o_c,GALCTD,Galactarate dehydratase
EX_malthx_e,malthx_e --> ,EX_malthx_e,Maltohexaose exchange
MLTG4,h2o_c + malthx_c --> glc__D_c + maltpt_c,MLTG4,Maltodextrin glucosidase (maltohexaose)
UDPGDC,nad_c + udpglcur_c --> co2_c + nadh_c + udpLa4o_c,UDPGDC,UDP-glucuronate C-4'' decarboxylase
PUNP4,dgsn_c + pi_c <=> 2dr1p_c + gua_c,PUNP4,Purine-nucleoside phosphorylase (Deoxyguanosine)
AMAOTr,8aonn_c + amet_c <=> amob_c + dann_c,AMAOTr,Adenosylmethionine-8-amino-7-oxononanoate transaminase
EX_csn_e,csn_e --> ,EX_csn_e,Cytosine exchange
EX_etoh_e,etoh_e --> ,EX_etoh_e,Ethanol exchange
G6PP,g6p_c + h2o_c --> glc__D_c + pi_c,G6PP,Glucose-6-phosphate phosphatase
MMCD,h_c + mmcoa__S_c --> co2_c + ppcoa_c,MMCD,Methylmalonyl-CoA decarboxylase
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,GLNS,Glutamine synthetase
TYMtex,tym_e <=> tym_p,TYMtex,Tyramine transport via diffusion (extracellular to periplasm)
GTHS,atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c,GTHS,Glutathione synthetase
EX_g3pe_e,g3pe_e --> ,EX_g3pe_e,Sn-Glycero-3-phosphoethanolamine exchange
EX_pacald_e,pacald_e --> ,EX_pacald_e,Phenylacetaldehyde exchange
EX_his__L_e,his__L_e --> ,EX_his__L_e,L-Histidine exchange
EX_k_e,k_e <=> ,EX_k_e,K+ exchange
EX_na1_e,na1_e <=> ,EX_na1_e,Sodium exchange
ACACT1r,2.0 accoa_c <=> aacoa_c + coa_c,ACACT1r,Acetyl-CoA C-acetyltransferase
ARGORNt7pp,arg__L_p + orn_c <=> arg__L_c + orn_p,ARGORNt7pp,Arginine/ornithine antiporter (periplasm)
EX_dmso_e,dmso_e --> ,EX_dmso_e,Dimethyl sulfoxide exchange
CMPtex,cmp_e <=> cmp_p,CMPtex,CMP transport via diffusion (extracellular to periplasm)
DUMPtex,dump_e <=> dump_p,DUMPtex,DUMP transport via diffusion (extracellular to periplasm)
XMPtex,xmp_e <=> xmp_p,XMPtex,XMP transport via diffusion (extracellular to periplasm)
3PEPTtex,LalaDgluMdap_e <=> LalaDgluMdap_p,3PEPTtex,LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm)
EX_12ppd__S_e,12ppd__S_e --> ,EX_12ppd__S_e,"(S)-Propane-1,2-diol exchange"
EX_pppn_e,pppn_e --> ,EX_pppn_e,Phenylpropanoate exchange
ANHGMtex,anhgm_e <=> anhgm_p,ANHGMtex,GlcNAc-anhMurNAc transport via diffusion (extracellular to periplasm)
MALTptspp,malt_p + pep_c --> malt6p_c + pyr_c,MALTptspp,Maltose transport via PEP:Pyr PTS (periplasm)
UDPKAAT,glu__L_c + udpLa4o_c <=> akg_c + udpLa4n_c,UDPKAAT,UDP-4''-ketopentose:UDP-4-amino-4-deoxy-L-arabinose aminotransferase
ULA4NFT,10fthf_c + udpLa4n_c --> h_c + thf_c + udpLa4fn_c,ULA4NFT,UDP-L-Ara4N formyltransferase
EX_acgam1p_e,acgam1p_e --> ,EX_acgam1p_e,N-Acetyl-D-glucosamine 1-phosphate exchange
NTD11pp,h2o_p + imp_p --> ins_p + pi_p,NTD11pp,5'-nucleotidase (IMP)
EX_galt_e,galt_e --> ,EX_galt_e,Galactitol exchange
DKGLCNR2x,25dkglcn_c + h_c + nadh_c --> 5dglcn_c + nad_c,DKGLCNR2x,"2,5-diketo-D-gluconate reductase (NADH)"
ACGS,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,ACGS,N-acetylglutamate synthase
PDE1,camp_c + h2o_c --> amp_c + h_c,PDE1,"3',5'-cyclic-nucleotide phosphodiesterase"
UPLA4FNT,udcpp_c + udpLa4fn_c --> uLa4fn_c + udp_c,UPLA4FNT,Undecaprenyl phosphate-L-Ara4FN transferase
UPLA4FNF,h2o_c + uLa4fn_c --> for_c + uLa4n_c,UPLA4FNF,Undecaprenyl phosphate-L-Ara4FN formylase
ULA4Ntppi,uLa4n_c --> uLa4n_p,ULA4Ntppi,Transport (cytoplasm to periplasm)
HEPT1,adphep_LD_c + lipa_c --> adp_c + h_c + hlipa_c,HEPT1,Heptosyltransferase I (LPS core synthesis)
FALDtex,fald_e <=> fald_p,FALDtex,Formaldehyde transport via diffusion (extracellular to periplasm)
MCITD,2mcit_c --> 2mcacn_c + h2o_c,MCITD,2-methylcitrate dehydratase
