Strain,MediumID,Medium,Stress,R0001,R0002,R0003,R0004,R0005,R0006,R0007,R0008,R0009,R0010,R0011,R0012,R0013,R0014,R0015,R0016,R0017,R0018,R0019,R0020,R0021,R0022,R0023,R0024,R0025,R0026,R0027,R0028,R0029,R0030,R0031,R0032,R0033,R0034,R0035,R0036,R0037,R0038,R0039,R0040,R0041,R0042,R0043,R0044,R0045,R0046,R0047,R0048,R0049,R0050,R0051,R0052,R0053,R0054,R0055,R0056,R0057,R0058,R0059,R0060,R0061,R0062,R0063,R0064,R0065,R0066,R0067,R0068,R0069,R0070,R0071,R0072,R0073,R0074,R0075,R0076,R0077,R0078,R0079,R0080,R0081,R0082,R0083,R0084,R0085,R0086,R0087,R0088,R0089,R0090,R0091,R0092,R0093,R0094,R0095,R0096,R0097,R0098,R0099,R0100,R0101,R0102,R0103,R0104,R0105,R0106,R0107,R0108,R0109,R0100,R0111,R0112,R0113,R0114,R0115,R0116,R0117,R0118,R0119,R0120
W3110,MD121,M9+Glu,none,100,73,83.4,83.4,83.4,171.3,159.3,30.2,112,25.5,24.5,10.9,13.6,10.9,0,0,21.3,12.1,20.2,8.5,13.2,15.9,16.4,23.6,0.3,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.1,157.3,0,0,0,0,0,0,92.1,0,0,0,0,129.2,91.2,26.7,55.2,79.3,-4.1,-6.8,-6.8,6.8,1,1,0.3,66.1,50.2,5.1,1.6,2.1,15.9,1.7,3.7,7.3,3.6,1.5,2.3,1.7,2.4,2.4,6.1,1.1,3,3.2,2.1,1.3,1,0.4,0.7,1.1,0.7,276.6,13.2,62,460.5,69.9,162.2,144.9,52.3,1.7,7.5,42.6,8.1,6.8,0,63,4.7,0,2.6,489.4,0,113.8,3.5,0,0
MG1655,MD004,MOPS+Glu(0.4%),ATP-limitation,100,67,0,0,0,181,174,60,149,33,33,19,14,10,10,9,33,0,33,0,0,0,28,31,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,203,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
BW25113,MD066,synthetic+Glu,none,100,0,34,34,34,120,109,5,122,98,61,35,26,19,19,16,67,67,41,33,58,58,81,0,2,25,25,37,0,0,0,2,1,7,3,1,11,4,22,30,15,9,259,0,0.42,0.95,0.53,0.12,0.51,0.08,2.73,4.45,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,83,87,87,87,173,162,34,112,15,15,4,11,4,4,0,72,72,72,63,63,63,63,24,0,0,0,0,7,0,2,2,1,7,3,1,11,4,23,30,15,9,238,0.93,0,0.07,0.54,0.01,0.87,0.1,6.63,13.05,8.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,74,84,84,84,170,160,51,129,24,24,10,14,7,7,4,83,83,65,57,74,74,92,5,0,18,18,0,0,0,0,2,1,7,3,1,11,4,22,29,14,9,270,0.89,0.84,0,0.67,0,0.93,0.29,2.82,7.17,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,78,86,86,86,173,162,51,131,20,20,8,12,6,6,3,88,88,73,65,80,80,94,7,0,15,15,0,0,0,0,2,1,7,3,1,10,4,21,28,14,8,282,0.92,0.93,0,0.55,0,0.93,0.25,3.36,11.87,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,99,93,93,93,182,173,67,149,0,0,-5,5,-1,-1,-4,108,108,93,85,101,101,117,3,0,16,16,0,0,0,0,1,1,6,3,1,9,3,18,24,12,7,324,0,0.95,0.56,0.06,0.11,0.81,0.34,2.92,6.01,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD120,synthetic+Glu+KNO3,none,100,53,79,79,0,168,158,120,94,46,0,0,0,15,15,11,72,0,0,0,0,67,65,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,86,88,88,88,175,165,41,121,13,13,3,10,3,3,0,91,91,89,81,83,83,85,20,0,2,2,0,0,0,0,2,1,7,3,1,10,4,21,28,14,8,283,0.38,0.95,0,0.45,0.02,0.93,0.39,2.94,10.99,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW25113,MD066,synthetic+Glu,none,100,60,79,79,79,164,153,49,126,39,39,20,19,12,12,8,72,72,49,40,63,63,86,0,0,23,23,0,0,0,0,2,1,7,3,1,11,4,23,31,15,9,252,0.68,0.95,0,0.83,0,0.75,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
