rxn_id,exp_reaction,exp_flux,FBA_flux,abs_difference,relative_difference
IPPMIb,R0089_IPPMIb,-0.32,-0.3059622346022411,0.014037765397758917,0.04386801685428786
IPPMIa,R0089_IPPMIa,-0.32,-0.3059622346022411,0.014037765397758917,0.04386801685428786
IPPS,R0089_IPPS,0.32,0.3059622346022411,0.014037765397758917,0.04386801685428786
LEUTAi,R0089_LEUTAi,0.32,0.3059622346022411,0.014037765397758917,0.04386801685428786
OMCDC,R0089_OMCDC,0.32,0.3059622346022411,0.014037765397758917,0.04386801685428786
IPMD,R0089_IPMD,0.32,0.3059622346022411,0.014037765397758917,0.04386801685428786
KARA2,R0090_KARA2,0.21,0.1973025209292024,0.012697479070797602,0.06046418602262468
ILETA,R0090_ILETA,-0.21,-0.1973025209292024,0.012697479070797602,0.06046418602262468
DHAD2,R0090_DHAD2,0.21,0.1973025209292024,0.012697479070797602,0.06046418602262468
ACHBS,R0090_ACHBS,0.21,0.1973025209292024,0.012697479070797602,0.06046418602262468
VALTA,R0088_VALTA,-0.3,-0.2873755437888925,0.012624456211107471,0.0420815206896644
DHDPRy,R0084_DHDPRy,0.24,0.2519169268340396,0.01191692683403961,0.04965386178780926
DHDPS,R0084_DHDPS,0.24,0.2519169268340396,0.01191692683403961,0.04965386178780926
THDPS,R0084_THDPS,0.24,0.2519169268340396,0.01191692683403961,0.04965386178780926
SDPTA,R0084_SDPTA,-0.24,-0.2519169268340396,0.01191692683403961,0.04965386178780926
DAPE,R0085_DAPE,0.24,0.2519169268340396,0.01191692683403961,0.04965386178780926
G5SD,R0074_G5SD,0.16,0.1501217047661501,0.009878295233849893,0.06173934517297474
P5CR,R0074_P5CR,0.16,0.1501217047661501,0.009878295233849893,0.06173934517297474
G5SADs,R0074_G5SADs,0.16,0.1501217047661501,0.009878295233849893,0.06173934517297474
GLU5K,R0074_GLU5K,0.16,0.1501217047661501,0.009878295233849893,0.06173934517297474
ARGSL,R0075_ARGSL,0.21,0.2008767017085752,0.009123298291424803,0.0434442775575256
ARGSS,R0075_ARGSS,0.21,0.2008767017085752,0.009123298291424803,0.0434442775575256
DAPDC,R0084_DAPDC,0.24,0.2330456869523731,0.006954313047626892,0.02897630435303859
ASNS2,R0077_ASNS2,0.1699999999999999,0.1637039991965996,0.0062960008034003145,0.03703529882174581
PPND,R0092_PPND,0.1,0.0937986462219623,0.00620135377803771,0.062013537718363564
TYRTA,R0092_TYRTA,-0.1,-0.0937986462219623,0.00620135377803771,0.062013537718363564
IGPDH,R0094_IGPDH,0.0699999999999999,0.064337970487596,0.005662029512403896,0.08088613577593273
HSTPT,R0094_HSTPT,0.0699999999999999,0.064337970487596,0.005662029512403896,0.08088613577593273
HISTP,R0094_HISTP,0.0699999999999999,0.064337970487596,0.005662029512403896,0.08088613577593273
HISTD,R0094_HISTD,0.0699999999999999,0.064337970487596,0.005662029512403896,0.08088613577593273
PRAMPC,R0094_PRAMPC,0.0699999999999999,0.064337970487596,0.005662029512403896,0.08088613577593273
PRMICI,R0094_PRMICI,0.0699999999999999,0.064337970487596,0.005662029512403896,0.08088613577593273
ATPPRT,R0094_ATPPRT,0.0699999999999999,0.064337970487596,0.005662029512403896,0.08088613577593273
CYSTL,R0087_CYSTL,0.11,0.1045232259042452,0.005476774095754797,0.049788855370690104
SHSL1,R0087_SHSL1,0.11,0.1045232259042452,0.005476774095754797,0.049788855370690104
HSST,R0087_HSST,0.11,0.1045232259042452,0.005476774095754797,0.049788855370690104
MTHFR2,R0095_MTHFR2,0.11,0.1048274692994873,0.005172530700512698,0.047023006325549066
METS,R0087_METS,0.11,0.1048274692994873,0.005172530700512698,0.047023006325549066
PHETA1,R0091_PHETA1,-0.13,-0.1258161888828609,0.0041838111171391135,0.03218316241477536
PPNDH,R0091_PPNDH,0.13,0.1258161888828609,0.0041838111171391135,0.03218316241477536
SADT2,R0083_SADT2,0.1699999999999999,0.1680686695118248,0.0019313304881750926,0.011360767570817746
