rxn_id,exp_reaction,exp_flux,pFBA_flux,abs_difference,relative_difference
ENO,R0007_ENO,15.930000000000001,15.91951394192031,0.010486058079690608,0.0006582585109620076
ARGSS,R0075_ARGSS,0.21000000000000002,0.2000356057144107,0.009964394285589318,0.04744949657544936
ARGSL,R0075_ARGSL,0.21000000000000002,0.2000356057144107,0.009964394285589318,0.04744949657544936
DAPDC,R0084_DAPDC,0.24,0.23206989537432685,0.007930104625673146,0.0330421025932039
ASNS2,R0077_ASNS2,0.16999999999999998,0.16301854997933435,0.006981450020665636,0.04106735303858177
PPND,R0092_PPND,0.1,0.09340589950258522,0.0065941004974147815,0.06594100490820681
TYRTA,R0092_TYRTA,-0.1,-0.09340589950258522,0.0065941004974147815,0.06594100490820681
HISTP,R0094_HISTP,0.06999999999999999,0.06406857931983231,0.005931420680167679,0.08473458102420317
PRAMPC,R0094_PRAMPC,0.06999999999999999,0.06406857931983231,0.005931420680167679,0.08473458102420317
PRMICI,R0094_PRMICI,0.06999999999999999,0.06406857931983231,0.005931420680167679,0.08473458102420317
ATPPRT,R0094_ATPPRT,0.06999999999999999,0.06406857931983231,0.005931420680167679,0.08473458102420317
HISTD,R0094_HISTD,0.06999999999999999,0.06406857931983231,0.005931420680167679,0.08473458102420317
IGPDH,R0094_IGPDH,0.06999999999999999,0.06406857931983231,0.005931420680167679,0.08473458102420317
HSTPT,R0094_HSTPT,0.06999999999999999,0.06406857931983231,0.005931420680167679,0.08473458102420317
CYSTL,R0087_CYSTL,0.11000000000000001,0.1040855740219839,0.0059144259780161135,0.05376750884217602
SHSL1,R0087_SHSL1,0.11000000000000001,0.1040855740219839,0.0059144259780161135,0.05376750884217602
HSST,R0087_HSST,0.11000000000000001,0.1040855740219839,0.0059144259780161135,0.05376750884217602
MTHFR2,R0095_MTHFR2,0.11000000000000001,0.10438854351189591,0.0056114564881041,0.051013240754570685
METS,R0087_METS,0.11000000000000001,0.10438854351189591,0.0056114564881041,0.051013240754570685
PPNDH,R0091_PPNDH,0.13,0.12528938068872822,0.004710619311271785,0.03623553313575563
PHETA1,R0091_PHETA1,-0.13,-0.12528938068872822,0.004710619311271785,0.03623553313575563
PAPSR,R0083_PAPSR,0.16999999999999998,0.1673649448714425,0.0026350551285574952,0.015500324276514488
SADT2,R0083_SADT2,0.16999999999999998,0.1673649448714425,0.0026350551285574952,0.015500324276514488
ADSK,R0083_ADSK,0.16999999999999998,0.1673649448714425,0.0026350551285574952,0.015500324276514488
SULR,R0083_SULR,0.16999999999999998,0.1673649448714425,0.0026350551285574952,0.015500324276514488
SERAT,R0083_SERAT,0.16999999999999998,0.1673649448714425,0.0026350551285574952,0.015500324276514488
CYSS,R0083_CYSS,0.16999999999999998,0.1673649448714425,0.0026350551285574952,0.015500324276514488
PRAIi,R0093_PRAIi,0.04,0.03844128284613595,0.0015587171538640476,0.03896792874918137
IGPS,R0093_IGPS,0.04,0.03844128284613595,0.0015587171538640476,0.03896792874918137
ANS,R0093_ANS,0.04,0.03844128284613595,0.0015587171538640476,0.03896792874918137
TRPS3,R0093_TRPS3,0.04,0.03844128284613595,0.0015587171538640476,0.03896792874918137
ANPRT,R0093_ANPRT,0.04,0.03844128284613595,0.0015587171538640476,0.03896792874918137
ACONTb,R0018_ACONTb,1.21,1.210548864695976,0.0005488646959759258,0.0004536071867194753
ACONTa,R0018_ACONTa,1.21,1.210548864695976,0.0005488646959759258,0.0004536071867194753
EX_so4_e,R0105_EX_so4_e,-0.16999999999999998,-0.1702986092625995,0.00029860926259950293,0.0017565250730814733
SO4t2pp,R0105_SO4t2pp,0.16999999999999998,0.1702986092625995,0.00029860926259950293,0.0017565250730814733
SO4tex,R0105_SO4tex,0.16999999999999998,0.1702986092625995,0.00029860926259950293,0.0017565250730814733
EX_co2_e,R0102_EX_co2_e,16.22,16.22,0.0,0.0
EX_glc__D_e,R0001_EX_glc__D_e,-10.0,-10.0,0.0,0.0
O2tpp,R0103_O2tpp,14.49,14.49,0.0,0.0
O2tex,R0103_O2tex,14.49,14.49,0.0,0.0
CO2tpp,R0102_CO2tpp,-16.22,-16.22,0.0,0.0
GLCptspp,R0001_GLCptspp,10.0,10.0,0.0,0.0
CO2tex,R0102_CO2tex,-16.22,-16.22,0.0,0.0
EX_o2_e,R0103_EX_o2_e,-14.49,-14.49,0.0,0.0
