rxn_id,exp_reaction,exp_flux,pFBA_flux,abs_difference,relative_difference
RPE,R0061_RPE,2.67,1.8709501915082511,0.7990498084917488,0.29926959118420293
BIOMASS_Ec_iML1515_WT_75p37M,R0106_BIOMASS_Ec_iML1515_WT_75p37M,0.75,0.0,0.75,0.9999999998666667
TALA,R0066_TALA,-0.6799999999999999,0.0,0.6799999999999999,0.9999999998529412
MTHFD,R0096_MTHFD,0.06999999999999999,0.7048999766263526,0.6348999766263527,9.069999653133612
GLNS,R0073_GLNS,0.51,1.1172460538411502,0.6072460538411502,1.1906785367099653
MTHFC,R0095_MTHFC,0.11000000000000001,0.7048999766263526,0.5948999766263526,5.408181600777586
FUM,R0022_FUM,1.59,2.157552269195327,0.5675522691953268,0.3569511126790136
AKGDH,R0020_AKGDH,0.85,1.4138004477427881,0.5638004477427881,0.6632946443252455
ACKr,R0071_ACKr,-6.609999999999999,-6.050776340960339,0.5592236590396604,0.08460267156296523
PTAr,R0071_PTAr,6.609999999999999,6.050776340960339,0.5592236590396604,0.08460267156296523
ACt2rpp,R0101_ACt2rpp,-6.99,-6.466009578196733,0.5239904218032674,0.07496286434846511
ACtex,R0101_ACtex,-6.99,-6.466009578196733,0.5239904218032674,0.07496286434846511
EX_ac_e,R0101_EX_ac_e,6.99,6.466009578196733,0.5239904218032674,0.07496286434846511
MDH,R0023_MDH,1.64,2.157552269196453,0.5175522691964531,0.3155806519298141
ASPTA,R0076_ASPTA,-1.59,-2.0882148013609463,0.4982148013609462,0.3133426423456679
PSERT,R0079_PSERT,0.73,1.225213214455517,0.495213214455517,0.6783742662844926
PSP_L,R0079_PSP_L,0.73,1.225213214455517,0.495213214455517,0.6783742662844926
PGCD,R0079_PGCD,0.73,1.225213214455517,0.495213214455517,0.6783742662844926
GHMT2r,R0118_GHMT2r,0.35,0.7956326177837415,0.4456326177837415,1.2732360504469085
RPI,R0013_RPI,-1.3599999999999999,-1.7369191216061972,0.37691912160619734,0.27714641292535497
ACLS,R0088_ACLS,0.3,0.6236258514335172,0.32362585143351724,1.0787528377521398
DHAD1,R0088_DHAD1,0.3,0.6236258514335172,0.32362585143351724,1.0787528377521398
KARA1,R0088_KARA1,-0.3,-0.6236258514335172,0.32362585143351724,1.0787528377521398
TPI,R0005_TPI,8.34,8.066835305285563,0.2731646947144366,0.03275356051692581
PPC,R0024_PPC,2.3600000000000003,2.1113234932323564,0.24867650676764397,0.10537140116826559
HSK,R0086_HSK,0.61,0.38815184740931774,0.22184815259068225,0.3636854959906782
THRS,R0086_THRS,0.61,0.38815184740931774,0.22184815259068225,0.3636854959906782
THRD,R0090_THRD,0.21000000000000002,0.0,0.21000000000000002,0.9999999995238095
SUCOAS,R0020_SUCOAS,-0.85,-1.0393840073729708,0.1893840073729708,0.2228047145302239
SULabcpp,R0105_SULabcpp,0.16999999999999998,0.0,0.16999999999999998,0.9999999994117647
ICDHyr,R0019_ICDHyr,2.02,2.180660961067863,0.1606609610678631,0.079535129237579
PDH,R0009_PDH,11.2,11.0414081878099,0.15859181219009955,0.01415998323113246
ASPK,R0086_ASPK,0.61,0.7624983911185333,0.15249839111853336,0.24999736244841578
ASAD,R0086_ASAD,-0.61,-0.7624983911185333,0.15249839111853336,0.24999736244841578
DHQTi,R0091_DHQTi,0.13,0.2718259733870224,0.1418259733870224,1.0909690252148114
SHK3Dr,R0091_SHK3Dr,0.13,0.2718259733870224,0.1418259733870224,1.0909690252148114
PSCVT,R0091_PSCVT,0.13,0.2718259733870224,0.1418259733870224,1.0909690252148114
SHKK,R0091_SHKK,0.13,0.2718259733870224,0.1418259733870224,1.0909690252148114
DHQS,R0091_DHQS,0.13,0.2718259733870224,0.1418259733870224,1.0909690252148114
CHORS,R0091_CHORS,0.13,0.2718259733870224,0.1418259733870224,1.0909690252148114
DDPA,R0091_DDPA,0.13,0.2718259733870224,0.1418259733870224,1.0909690252148114
CHRPL,R0091_CHRPL,0.13,0.0001590505644308103,0.1298409494355692,0.9987765333514733
HSDy,R0086_HSDy,-0.61,-0.4979259793470327,0.11207402065296729,0.1837279026796631
ICL,R0026_ICL,0.11000000000000001,0.0,0.11000000000000001,0.9999999990909092
MALS,R0027_MALS,0.11000000000000001,1.1259914441813512e-12,0.10999999999887403,0.9999999990806729
CHORM,R0091_CHORM,0.13,0.23064756828651645,0.10064756828651644,0.7742120631468864
EDA,R0069_EDA,0.1,0.0,0.1,0.999999999
EDD,R0068_EDD,0.1,0.0,0.1,0.999999999
SUCDi,R0021_SUCDi,1.3199999999999998,1.4142077027754787,0.09420770277547885,0.07136947179419842
PGM,R0007_PGM,-15.930000000000001,-15.847163072728316,0.08283692727168557,0.0052000582091127154
ENO,R0007_ENO,15.930000000000001,15.847163072728316,0.08283692727168557,0.0052000582091127154
FTHFLi,R0096_FTHFLi,0.06999999999999999,0.0,0.06999999999999999,0.9999999985714286
GAPD,R0006_GAPD,17.130000000000003,17.072376287183832,0.05762371281617007,0.003363906177223215
CS,R0017_CS,2.13,2.180660961067863,0.05066096106786322,0.023784488763138392
ALATA_L,R0078_ALATA_L,-0.37,-0.41498931215551743,0.044989312155517436,0.12159273552258963
TRPS2,R0093_TRPS2,0.04,0.0,0.04,0.9999999975
TRPS1,R0093_TRPS1,0.04,0.0,0.04,0.9999999975
BIOMASS_Ec_iML1515_core_75p37M,R0106_BIOMASS_Ec_iML1515_core_75p37M,0.75,0.7132312306314363,0.03676876936856366,0.04902502581821487
PPCK,R0070_PPCK,0.03,0.0,0.03,0.9999999966666666
ME1,R0025_ME1,0.03,0.0,0.03,0.9999999966666666
SDPTA,R0084_SDPTA,-0.24,-0.26457241177150065,0.024572411771500657,0.10238504900525897
DHDPRy,R0084_DHDPRy,0.24,0.26457241177150065,0.024572411771500657,0.10238504900525897
DAPE,R0085_DAPE,0.24,0.26457241177150065,0.024572411771500657,0.10238504900525897
DHDPS,R0084_DHDPS,0.24,0.26457241177150065,0.024572411771500657,0.10238504900525897
THDPS,R0084_THDPS,0.24,0.26457241177150065,0.024572411771500657,0.10238504900525897
TKT1,R0014_TKT1,1.09,1.071229031883769,0.018770968116231135,0.01722107166468718
EX_so4_e,R0105_EX_so4_e,-0.16999999999999998,-0.17960588849760845,0.009605888497608461,0.05650522642328199
SO4tex,R0105_SO4tex,0.16999999999999998,0.17960588849760845,0.009605888497608461,0.05650522642328199
