rxn_id,exp_reaction,exp_flux,FBA_flux,abs_difference,relative_difference
DHDPRy,R0084_DHDPRy,0.24,0.26457241177150065,0.024572411771500657,0.10238504900525897
DAPE,R0085_DAPE,0.24,0.26457241177150065,0.024572411771500657,0.10238504900525897
DHDPS,R0084_DHDPS,0.24,0.26457241177150065,0.024572411771500657,0.10238504900525897
THDPS,R0084_THDPS,0.24,0.26457241177150065,0.024572411771500657,0.10238504900525897
SDPTA,R0084_SDPTA,-0.24,-0.26457241177150065,0.024572411771500657,0.10238504900525897
TKT1,R0014_TKT1,1.09,1.0712290318830726,0.018770968116927467,0.017221071665326017
SO4t2pp,R0105_SO4t2pp,0.16999999999999998,0.17960588849760833,0.00960588849760835,0.05650522642328134
EX_so4_e,R0105_EX_so4_e,-0.16999999999999998,-0.17960588849760833,0.00960588849760835,0.05650522642328134
SO4tex,R0105_SO4tex,0.16999999999999998,0.17960588849760833,0.00960588849760835,0.05650522642328134
CYSS,R0083_CYSS,0.16999999999999998,0.17651189141912915,0.006511891419129168,0.03830524361940379
SULR,R0083_SULR,0.16999999999999998,0.17651189141912915,0.006511891419129168,0.03830524361940379
ADSK,R0083_ADSK,0.16999999999999998,0.17651189141912915,0.006511891419129168,0.03830524361940379
SADT2,R0083_SADT2,0.16999999999999998,0.17651189141912915,0.006511891419129168,0.03830524361940379
SERAT,R0083_SERAT,0.16999999999999998,0.17651189141912915,0.006511891419129168,0.03830524361940379
DAPDC,R0084_DAPDC,0.24,0.24475314233471432,0.0047531423347143276,0.019804759719724382
DHAD2,R0090_DHAD2,0.21000000000000002,0.20721435620412054,0.0027856437958794777,0.013264970450252288
ILETA,R0090_ILETA,-0.21000000000000002,-0.20721435620412054,0.0027856437958794777,0.013264970450252288
KARA2,R0090_KARA2,0.21000000000000002,0.20721435620412054,0.0027856437958794777,0.013264970450252288
ACHBS,R0090_ACHBS,0.21000000000000002,0.20721435620412054,0.0027856437958794777,0.013264970450252288
HISTP,R0094_HISTP,0.06999999999999999,0.06757010032756101,0.0024298996724389788,0.0347128524138242
ATPPRT,R0094_ATPPRT,0.06999999999999999,0.06757010032756101,0.0024298996724389788,0.0347128524138242
HSTPT,R0094_HSTPT,0.06999999999999999,0.06757010032756101,0.0024298996724389788,0.0347128524138242
PRMICI,R0094_PRMICI,0.06999999999999999,0.06757010032756101,0.0024298996724389788,0.0347128524138242
