rxn_id,reconciled_flux,original_measured_flux
AHCYSNS,1.471610047813494e-09,
TMK,5.059031813952376e-09,
NTPP4,-1.8602433962910163e-09,
NTPP3,-1.8602433962909503e-09,
NTPP6,-1.8602433962576525e-09,
NTPP7,-1.860243396290963e-09,
NTPP8,-1.8602433962909526e-09,
P5CR,0.14811558638639682,0.15
CYANST,9.663471488515764e-09,
DHPPDA2,-1.5026556259599763e-09,
G5SADs,0.1491715079870219,0.15
GMAND,3.014362343733335e-11,
PPCSCT,-3.114261298577017e-09,
CYTD,1.8766611222736717e-08,
DCYTD,9.702973923827883e-09,
DBTS,1.8178686435378748e-09,
DCTPD,2.9926700033144165e-09,
DHDPS,0.10259224882342564,0.22999999999999998
G1PACT,5.284242854748012e-08,
GART,6.279516460351254e-09,
CSND,3.166509459139133e-08,
GF6PTA,-4.510582054222505e-09,
H2SO,0.082215337176242,
GLUCYS,3.852208902401861e-09,
GLUN,-5.186456787645266e-09,
GLUPRT,-8.336690301264366e-09,
GMPR,1.1061988353366578e-08,
NADS1,-1.119506246543422e-09,
NTRIR2x,-6.764801707141251e-09,
OCBT,0.16458490740771206,
GARFT,-1.4605125367732253e-08,
GPDDA1,3.178016098935818e-09,
GPDDA2,5.721354263338356e-08,
PHETA1,-0.03622908294527299,0.13
PPND,0.01774148297561118,0.09
TRPS1,0.02199481385532111,0.04
PRAMPC,0.058094030625984644,0.06
MCITL2,1.8012858729820918,
DXYLK,1.5570681994591e-11,
MDH3,5.962057232983884e-08,
SOTA,0.16458490055831085,
SGSAD,0.1645849005586315,
PTA2,434.23838519016545,
MDH2,0.483966158970154,
ACOTA,-0.16458489634339188,
GPDDA5,3.9223575710462303e-10,
PDX5PS,-7.746895992706814e-09,
PPBNGS,-2.867455336562261e-09,
PPNCL2,-8.113387882421852e-09,
PRAGSr,-8.331257014037425e-09,
PRFGS,-8.319919290899658e-09,
EX_acac_e,5.11074277353053e-09,
ETHAAL,8.241165165821034e-08,
MAN1PT2,4.4144730575287515e-08,
AP4AH,6.289514154642576e-09,
AP5AH,3.169775698300527e-11,
ADNCYC,6.274990251417473e-09,
MI1PP,2.286783057438002e-11,
MCITS,1.8012858729820294,
PPAKr,434.2383851901663,
NTP3,6.2795130199942906e-09,
PPM2,4.211779245400914e-08,
MOAT2,-1.698445165963672e-09,
EX_adn_e,-9.602884666077705e-09,
EX_ins_e,-9.226597962487928e-09,
G6PDH2r,2.5685996285672954,2.55
NADH5,6.406156186040165e-08,30.0
MOHMT,-3.192055626383051e-10,
EX_glyc3p_e,-5.252408084111656e-09,
EX_lcts_e,-6.72845815023313e-09,
EX_nac_e,8.686171983231364e-10,
EX_ocdca_e,-3.956235110174401e-09,
GMPS,1.1252636348320532e-09,
FTHFLi,0.05972292634189296,0.06
UDPGD,2.349955237819741e-10,
GLCRD,5.104693252498447e-09,
PPPNDO,6.314477942758718e-09,
CHRPL,8.548782368743242e-10,0.13
TDPAGTA,5.006164990953412e-09,
UACMAMO,5.020057712111612e-09,
FBA3,2.740293617643166e-08,
PMPK,2.022760777747921e-08,
LCADi,4.878262957164602e-08,
ADK3,-123.93732847384592,
GLUDC,0.9226710479287172,
BSORy,-1.314891144160786e-09,
ADSK,0.1634636036189308,0.16999999999999998
HSDy,-0.13136741930860185,0.37
CYSTL,0.08124843685305777,0.11000000000000001
SHSL1,0.08124843684852005,0.11000000000000001
SSALy,0.9226710719541616,
EX_dad_2_e,-9.434421991971485e-09,
EX_ser__D_e,-3.0678381940318558e-09,
EX_gam6p_e,-5.882363081592853e-09,
EX_15dap_e,4.609490120989882e-08,
EX_ocdcea_e,-4.575070170410026e-09,
EX_cynt_e,-3.6552806330316876e-09,
EX_galctn__D_e,-5.180978147827442e-09,
EX_glyb_e,1.4874239129088193e-08,
3HCINNMH,5.361723713909576e-09,
BSORx,1.3119905796184566e-09,
NMNt7pp,-2.3495129604159267e-09,
GLUtex,7.473057631468302e-09,
GLYtex,6.063854940429875e-09,
GLYALDtex,-7.903043818948659e-09,
GLYBtex,-1.4870213336367825e-08,
GLYCtex,2.319526721459811e-09,
GLYC3Ptex,5.253478205528162e-09,
GLYCLTtex,4.114034753460619e-09,
GTPtex,3.3348681195826927e-09,
GUAtex,7.423942739138662e-09,
Htex,-8.517270556273804,
H2tex,2.1268595746390007e-09,
H2Otex,-17.9815931846553,
FACOAL160t2pp,2.867297646576123e-08,
FACOAL180t2pp,2.857131485408588e-08,
SPODMpp,-6.581743323025909e-10,
NO3R1bpp,-2.399528135516679e-09,
O2tpp,15.86000009640921,15.86
PHYTSpp,5.031735338973533e-09,
PPTHpp,4.8854454641851525e-09,
PYRt2rpp,-5.171586263723493e-08,
NO3R2pp,1.4911915558964008e-08,
NTP3pp,3.3526036082149847e-09,
NO3R2bpp,-1.4680423519012272e-09,
THD2pp,11.414865089189632,
TMAOR1pp,-5.241026174480474e-12,
TMAOR2pp,3.538877714463914e-09,
XANtpp,-5.8056458270539585e-08,
DAPtex,-4.609494459891054e-08,
12PPDStex,5.852628714981032e-09,
DDGLCNtex,-3.823562707068126e-09,
26DAHtex,9.475986720178278e-09,
HCINNMtex,5.33371085241648e-09,
