Reaction,Substrate partner,Direction,SMILES,BiGG Name,DB Name,Cleaned Substrate
ACOATA,acACP_c,reverse,,Acetyl-ACP,,acACP
ACOATA,coa_c,reverse,CC(C)(CO[P](O)(=O)O[P](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O[P](O)(O)=O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCS,Coenzyme A,,coa
MLTG2,h2o_c,forward,O,H2O H2O,,h2o
MLTG2,maltttr_c,forward,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)OC(O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Maltotetraose,Maltotetraose,maltttr
MLTG1,h2o_c,forward,O,H2O H2O,,h2o
MLTG1,malttr_c,forward,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Maltotriose C18H32O16,Amylotriose,malttr
AMALT3,malt_c,forward,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Maltose C12H22O11,alpha-Maltose,malt
AMALT3,maltpt_c,forward,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)OC(O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Maltopentaose,Maltopentaose,maltpt
MLTP3,malthp_c,forward,,Maltoheptaose,,malthp
MLTP3,pi_c,forward,O=P([O-])([O-])O,Phosphate,phosphate,pi
MLTP3,g1p_c,reverse,OC[C@H]1O[C@H](O[P](O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O,D-Glucose 1-phosphate,,g1p
