EX_glc__D_e_i,EX_ala__L_e_i,EX_arg__L_e_i,EX_asn__L_e_i,EX_asp__L_e_i,EX_glu__L_e_i,EX_gln__L_e_i,EX_gly_e_i,EX_his__L_e_i,EX_ile__L_e_i,EX_leu__L_e_i,EX_lys__L_e_i,EX_met__L_e_i,EX_phe__L_e_i,EX_pro__L_e_i,EX_ser__L_e_i,EX_thr__L_e_i,EX_trp__L_e_i,EX_tyr__L_e_i,EX_val__L_e_i,EX_thm_e_i,EX_pydxn_e_i,EX_cys__L_e_i,EX_cl_e_i,EX_nh4_e_i,EX_so4_e_i,EX_pi_e_i,EX_k_e_i,EX_na1_e_i,EX_mg2_e_i,EX_ca2_e_i,EX_fe2_e_i,EX_zn2_e_i,EX_cu2_e_i,EX_mobd_e_i,EX_cit_e_i,EX_tsul_e_i,EX_o2_e_i,EX_co2_e_i,EX_h_e_i,EX_h2o_e_i,EX_fe3_e_i,EX_mn2_e_i,EX_ni2_e_i,EX_sel_e_i,EX_cobalt2_e_i,EX_tungs_e_i,EX_slnt_e_i,GR_AVG
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.286479897797107697e+01,1.059542629867792130e+01,1.088610135018825531e+01,5.361386593431234360e+00,1.081667061895132065e+01,8.930159658193588257e+00,8.069833107292652130e+00,5.442718360573053360e+00,0.000000000000000000e+00,1.400614470243453979e+01,4.341020341962575912e+00,0.000000000000000000e+00,3.644666410982608795e+00,0.000000000000000000e+00,7.850019261240959167e+00,1.221814252436161041e+01,1.178369738161563873e+01,7.505798041820526123e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.728554099798202515e+00,0.000000000000000000e+00,1.222225770354270935e+01,1.097507741302251816e+01,0.000000000000000000e+00,1.638240657746791840e+01,1.403639912605285645e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.806820310652256012e+01,2.005621545016765594e+01,0.000000000000000000e+00,1.189447030425071716e+01,4.132899791002273560e+00,0.000000000000000000e+00,1.148715320974588394e+01,1.302293114364147186e+01,1.291217886833333273e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.362519972026348114e+01,6.290657967329025269e+00,1.113757744431495667e+01,1.517235916107892990e+00,1.224099330604076385e+01,9.167783297598361969e+00,9.795931354165077209e+00,8.320806659758090973e+00,0.000000000000000000e+00,1.212925635278224945e+01,4.858811665326356888e+00,0.000000000000000000e+00,1.054401274770498276e+01,1.090595298446714878e+00,0.000000000000000000e+00,1.281859770417213440e+01,1.089873850345611572e+01,7.825537696480751038e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.334193073213100433e+00,0.000000000000000000e+00,1.265591010451316833e+01,1.179969519376754761e+01,0.000000000000000000e+00,1.840473189949989319e+01,1.753784930333495140e+00,1.190461474470794201e+00,1.525505840778350830e+01,2.052990980446338654e+01,7.394528947770595551e+00,0.000000000000000000e+00,1.262350961565971375e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.471729494631290436e+01,1.464155696332454681e+01,1.190384375916666793e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.407269254326820374e+01,1.167274609208106995e+01,1.185506112873554230e+01,5.853376649320125580e+00,1.176262885332107544e+01,9.698527455329895020e+00,8.785865083336830139e+00,5.932358857244253159e+00,0.000000000000000000e+00,1.534533895552158356e+01,4.757808577269315720e+00,0.000000000000000000e+00,3.996957316994667053e+00,0.000000000000000000e+00,8.596779182553291321e+00,1.334710024297237396e+01,1.286119058728218079e+01,8.168309330940246582e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.527320004999637604e+00,0.000000000000000000e+00,1.338475406169891357e+01,1.193239308893680573e+01,0.000000000000000000e+00,1.797045662999153137e+01,1.536040246486663818e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.983164727687835693e+01,2.199346117675304413e+01,0.000000000000000000e+00,1.296229630708694458e+01,4.549267943948507309e+00,0.000000000000000000e+00,1.251346431672573090e+01,1.420323021709918976e+01,1.139834021363636429e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.245349623262882233e+01,9.574395418167114258e+00,1.095379088073968887e+01,5.823399685323238373e+00,1.162938453257083893e+01,1.204744540154933929e+01,9.719413369894027710e+00,8.359888121485710144e+00,0.000000000000000000e+00,1.409724347293376923e+01,6.953292414546012878e+00,0.000000000000000000e+00,2.920216685160994530e+00,0.000000000000000000e+00,1.114806994795799255e+01,1.300814367830753326e+01,1.159011479467153549e+01,8.606457002460956573e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.929286360740661621e+00,0.000000000000000000e+00,1.482535839080810547e+01,1.105166405439376831e+01,0.000000000000000000e+00,1.707396902143955231e+01,1.705409668385982513e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.282585985958576202e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.309681043028831482e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.233107000589370728e+01,1.514572940766811371e+01,9.368706778333332208e-01
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.312091827392578125e+01,1.143215533345937729e+01,1.045598372817039490e+01,4.181715697050094604e+00,1.268682278692722321e+01,8.904769271612167358e+00,8.126369044184684753e+00,6.572440154850482941e+00,0.000000000000000000e+00,1.077911164611577988e+01,3.280081991106271744e+00,0.000000000000000000e+00,5.127208903431892395e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.355529405176639557e+01,1.308734707534313202e+01,8.888792693614959717e+00,0.000000000000000000e+00,8.279190005850978196e-03,1.420575141906738281e+01,0.000000000000000000e+00,1.490364588797092438e+01,1.008281752467155457e+01,0.000000000000000000e+00,2.053906738758087158e+01,1.134157821536064148e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.742362335324287415e+01,1.801082558929920197e+01,0.000000000000000000e+00,1.072113815695047379e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.182642970234155655e+01,1.182717785239219666e+01,1.268571089666666873e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.310556314885616302e+01,7.410145252943038940e+00,1.191132456064224243e+01,1.036716639064252377e+00,1.033828280866146088e+01,1.399555310606956482e+01,7.646785750985145569e+00,4.870410822331905365e+00,0.000000000000000000e+00,1.313195578753948212e+01,4.752293005585670471e+00,0.000000000000000000e+00,1.887634601444005966e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.106421697884798050e+01,1.113040596246719360e+01,5.201253108680248260e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.548263970762491226e+00,1.287613376975059509e+01,1.028512805700302124e+01,0.000000000000000000e+00,1.607930600643157959e+01,2.283203722909092903e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.216694854199886322e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.134343832731246948e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.441579259932041168e+01,1.145868740975856781e+01,1.057236035250000095e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.245349623262882233e+01,9.574395418167114258e+00,1.095379088073968887e+01,5.823399685323238373e+00,1.162938453257083893e+01,1.204744540154933929e+01,9.719413369894027710e+00,8.359888121485710144e+00,0.000000000000000000e+00,1.409724347293376923e+01,6.953292414546012878e+00,0.000000000000000000e+00,2.920216685160994530e+00,0.000000000000000000e+00,1.114806994795799255e+01,1.300814367830753326e+01,1.159011479467153549e+01,8.606457002460956573e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.929286360740661621e+00,0.000000000000000000e+00,1.482535839080810547e+01,1.105166405439376831e+01,0.000000000000000000e+00,1.707396902143955231e+01,1.705409668385982513e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.282585985958576202e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.309681043028831482e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.233107000589370728e+01,1.514572940766811371e+01,9.449825602500000477e-01
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.375882908701896667e+01,1.104634135961532593e+01,1.168033588677644730e+01,5.930341612547636032e+00,1.154446844011545181e+01,9.650020152330398560e+00,8.666913472115993500e+00,5.795616563409566879e+00,0.000000000000000000e+00,1.461741089820861816e+01,5.039706844836473465e+00,0.000000000000000000e+00,4.222808387130498886e+00,0.000000000000000000e+00,7.955828346312046051e+00,1.307873167097568512e+01,1.247990444302558899e+01,8.106140680611133575e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.857797905802726746e+00,0.000000000000000000e+00,1.265816800296306610e+01,1.142232745885848999e+01,0.000000000000000000e+00,1.703429087996482849e+01,1.486262291669845581e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.861930303275585175e+01,2.095127612352371216e+01,0.000000000000000000e+00,1.265264287590980530e+01,4.671484660357236862e+00,0.000000000000000000e+00,1.246065922081470490e+01,1.365926072001457214e+01,1.167534099000000047e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.372044339776039124e+01,1.105079699307680130e+01,1.164129901677370071e+01,5.889385882765054703e+00,1.151241477578878403e+01,9.609041772782802582e+00,8.638680540025234222e+00,5.785299241542816162e+00,0.000000000000000000e+00,1.461976788938045502e+01,4.978070463985204697e+00,0.000000000000000000e+00,4.171924628317356110e+00,0.000000000000000000e+00,7.985071316361427307e+00,1.303882420063018799e+01,1.245835319161415100e+01,8.073149882256984711e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886330947279930115e+00,0.000000000000000000e+00,1.266713447868824005e+01,1.142536111176013947e+01,0.000000000000000000e+00,1.703985281288623810e+01,1.483583815395832062e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.864919789135456085e+01,2.095047488808631897e+01,0.000000000000000000e+00,1.262295611202716827e+01,4.628336150199174881e+00,0.000000000000000000e+00,1.240098983049392700e+01,1.364983700215816498e+01,1.214537578666666784e+00
2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,2.200000165030360222e+00,1.278357408940792084e+01,6.814285852015018463e+00,1.062151458114385605e+01,7.193506089970469475e-01,1.165328640490770340e+01,9.751149937510490417e+00,8.876158371567726135e+00,7.617959678173065186e+00,0.000000000000000000e+00,1.295314013957977295e+01,3.685162775218486786e+00,0.000000000000000000e+00,9.914542511105537415e+00,2.016805857419967651e-01,0.000000000000000000e+00,1.241200186312198639e+01,1.047183360904455185e+01,7.008836716413497925e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.472570750862360001e+00,0.000000000000000000e+00,1.368636257946491241e+01,1.184627231210470200e+01,0.000000000000000000e+00,1.951872378587722778e+01,1.103735524229705334e+00,2.003067182376980782e+00,1.657997623085975647e+01,2.178436703979969025e+01,8.023127168416976929e+00,0.000000000000000000e+00,1.197386056184768677e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.381184510886669159e+01,1.480681531131267548e+01,1.154941055166666786e+00
